subject,me_minus_mi_rejection_proportion
1,0.0
2,0.0777777777777777
3,-0.0222222222222222
4,0.0
5,-0.0111111111111111
6,0.0555555555555555
7,-0.0111111111111111
8,0.0
10,0.0111111111111111
11,-0.0111111111111111
12,0.0
14,0.0111111111111111
15,0.0
16,0.0
18,0.0
19,0.0111111111111111
20,0.0
21,-0.2397932816537467
23,0.1222222222222222
25,0.0
26,0.0
27,0.2602339181286549
28,0.0333333333333333
29,0.0
30,0.0
31,0.0
32,-0.2319268635724331
33,0.0111111111111111
34,0.0
35,0.0
36,0.0333333333333333
37,0.0
38,0.0
39,-0.0222222222222222
40,-0.0027777777777777
41,0.0
42,0.0
43,0.0888888888888888
44,0.0333333333333333
45,0.0111111111111111
46,0.0666666666666666
47,0.0
49,0.0
50,0.0
51,0.0
52,0.0999999999999999
53,-0.0222222222222222
54,0.0133838383838383
55,0.0
56,0.0222222222222222
57,-0.0222222222222222
58,-0.0222222222222222
59,0.0222222222222222
60,0.0555555555555555
61,-0.0111111111111111
62,0.0111111111111111
63,0.0111111111111111
64,0.0
65,0.0333333333333333
66,-0.0010840108401084
67,0.0
68,0.0111111111111111
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,-0.0222222222222222
76,0.0
77,0.2666666666666666
78,0.0098765432098765
79,0.0111111111111111
80,0.0111111111111111
81,0.0
82,0.0
83,0.0111111111111111
84,0.0222222222222222
85,-0.0555555555555555
86,0.1888888888888888
87,0.0444444444444444
88,-0.0121082621082621
89,0.0
90,0.0
91,0.1503607503607503
92,-0.1574074074074074
93,0.0125
94,-0.0111111111111111
95,-0.0444444444444444
96,-0.0603174603174603
97,-0.0401709401709401
98,0.0
99,-0.0555555555555555
100,-0.0347222222222222
101,0.0
102,0.0
103,-0.0542483660130719
104,0.0111111111111111
105,0.2333333333333333
106,0.0037518037518037
107,0.0666666666666666
108,-0.1333333333333333
