subject,me_minus_mi_rejection_proportion
1,0.0
2,0.07777777777777778
3,-0.022222222222222223
4,0.0
5,-0.011111111111111112
6,0.05555555555555555
7,-0.011111111111111112
8,0.0
10,0.011111111111111112
11,-0.011111111111111112
12,0.0
14,0.011111111111111112
15,0.0
16,0.0
18,0.0
19,0.011111111111111112
20,0.0
21,-0.23979328165374675
23,0.1222222222222222
25,0.0
26,0.0
27,0.26023391812865493
28,0.033333333333333326
29,0.0
30,0.0
31,0.0
32,-0.23192686357243317
33,0.011111111111111112
34,0.0
35,0.0
36,0.03333333333333333
37,0.0
38,0.0
39,-0.022222222222222227
40,-0.0027777777777777783
41,0.0
42,0.0
43,0.08888888888888888
44,0.03333333333333338
45,0.011111111111111127
46,0.06666666666666667
47,0.0
49,0.0
50,0.0
51,0.0
52,0.09999999999999998
53,-0.022222222222222223
54,0.013383838383838387
55,0.0
56,0.022222222222222254
57,-0.022222222222222223
58,-0.022222222222222223
59,0.022222222222222223
60,0.05555555555555556
61,-0.011111111111111112
62,0.011111111111111112
63,0.01111111111111111
64,0.0
65,0.033333333333333326
66,-0.001084010840108401
67,0.0
68,0.011111111111111112
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,-0.0222222222222222
76,0.0
77,0.26666666666666666
78,0.009876543209876545
79,0.0111111111111111
80,0.011111111111111106
81,0.0
82,0.0
83,0.011111111111111106
84,0.02222222222222222
85,-0.05555555555555555
86,0.18888888888888888
87,0.04444444444444444
88,-0.012108262108262116
89,0.0
90,0.0
91,0.15036075036075036
92,-0.1574074074074074
93,0.0125
94,-0.011111111111111106
95,-0.04444444444444445
96,-0.0603174603174603
97,-0.04017094017094017
98,0.0
99,-0.05555555555555558
100,-0.034722222222222224
101,0.0
102,0.0
103,-0.0542483660130719
104,0.011111111111111112
105,0.23333333333333334
106,0.0037518037518037527
107,0.06666666666666667
108,-0.13333333333333336
