subject,band,movement,laterality_me,laterality_mi,laterality_me_minus_mi
1,mu,left_fist,-0.9262478221664128,0.2652367610924553,-1.191484583258868
1,mu,right_fist,-1.3059894945983732,-0.9705087986052008,-0.3354806959931724
1,beta,left_fist,0.5299404365073468,-0.021161362765359,0.5511017992727059
1,beta,right_fist,-1.0750702384341788,-0.2646950455313177,-0.8103751929028611
2,mu,left_fist,1.6474452081769666,1.311343667190214,0.3361015409867527
2,mu,right_fist,-3.4868023485081805,-1.0051050790723786,-2.481697269435802
2,beta,left_fist,0.3259328614195704,0.3730825085026086,-0.0471496470830381
2,beta,right_fist,-0.0114022688058614,0.2103508625422692,-0.2217531313481306
3,mu,left_fist,1.5412618962599294,-1.117785030852448,2.659046927112377
3,mu,right_fist,-0.6118605869970404,0.1256301870909035,-0.737490774087944
3,beta,left_fist,0.4811875000456214,-0.0064787001017398,0.4876662001473612
3,beta,right_fist,-0.176713915416954,-0.4534322018270655,0.2767182864101115
4,mu,left_fist,0.969349526742285,0.5116918285006234,0.4576576982416616
4,mu,right_fist,1.2014657621095757,-1.0558472089650917,2.257312971074668
4,beta,left_fist,1.0560366102273249,1.3852912424236692,-0.3292546321963443
4,beta,right_fist,-1.2307140401559789,-1.5432049351839048,0.3124908950279259
5,mu,left_fist,0.3388264820712674,0.1684896184875216,0.1703368635837457
5,mu,right_fist,0.1912732618295205,0.1727254543878686,0.0185478074416518
5,beta,left_fist,1.1315963687502335,1.0548185308636833,0.0767778378865502
5,beta,right_fist,0.6433634862031137,0.2431661139722924,0.4001973722308212
6,mu,left_fist,1.2419646980670347,0.0817981073086431,1.1601665907583916
6,mu,right_fist,-0.0033346355199523,1.0067053781189117,-1.010040013638864
6,beta,left_fist,-0.1210507303237655,0.2673794191319477,-0.3884301494557133
6,beta,right_fist,-1.0100856081078036,0.4451513180838874,-1.455236926191691
7,mu,left_fist,-1.4757017629241715,-2.989569528936431,1.5138677660122597
7,mu,right_fist,-1.7138330112587687,-1.596847494565699,-0.1169855166930697
7,beta,left_fist,-1.570976589820782,0.5853498249005888,-2.156326414721371
7,beta,right_fist,-0.3988362826081921,-1.0478656881497008,0.6490294055415087
8,mu,left_fist,-0.3082512287834964,-1.0921835977244982,0.7839323689410018
8,mu,right_fist,-0.8448675410006676,-1.916560273851381,1.071692732850713
8,beta,left_fist,-0.2201534879203701,-0.2856945564743137,0.0655410685539436
8,beta,right_fist,0.7530240361528815,0.4333799951456754,0.3196440410072061
10,mu,left_fist,-2.99785296467188,-1.6081606803936184,-1.3896922842782613
10,mu,right_fist,-3.3346527727257547,-1.251503530874156,-2.083149241851599
10,beta,left_fist,-0.4059536682772651,0.0227460293759662,-0.4286996976532313
10,beta,right_fist,0.2341591993592604,0.2852443463846521,-0.0510851470253916
11,mu,left_fist,1.075242282587892,-1.0152005803927031,2.090442862980596
11,mu,right_fist,0.8808297225015909,-1.5440462615225576,2.4248759840241485
11,beta,left_fist,-0.7425925054677386,-0.4190262144593811,-0.3235662910083574
11,beta,right_fist,0.0053606577130527,0.2908747690755447,-0.285514111362492
12,mu,left_fist,2.806009155860578,-0.0333602411665409,2.839369397027119
12,mu,right_fist,0.9040530409934808,-0.0175002960423223,0.9215533370358032
12,beta,left_fist,-1.8855076604065508,-0.7707109224391673,-1.1147967379673835
12,beta,right_fist,-0.10272290931158,-0.3162979356830741,0.2135750263714941
14,mu,left_fist,2.827512490164277,-0.3550456238220971,3.1825581139863743
14,mu,right_fist,-0.7498868147832729,1.203270280976025,-1.9531570957592976
14,beta,left_fist,1.3275386446914583,-0.6166147373342966,1.944153382025755
14,beta,right_fist,0.0879225665228857,0.365612306145279,-0.2776897396223933
15,mu,left_fist,-1.5577414190961305,-0.6053849816791731,-0.9523564374169572
15,mu,right_fist,1.5493612658509237,-0.1613431330405423,1.710704398891466
15,beta,left_fist,0.0638389821973239,0.2073874014440881,-0.1435484192467642
15,beta,right_fist,0.3283057256291488,-0.3580544762112273,0.6863602018403762
16,mu,left_fist,-0.7892997881891364,0.1689767703777553,-0.9582765585668918
16,mu,right_fist,0.5511723429391086,0.9580579830518668,-0.4068856401127582
